Rectangles Set 1:
159,47
161,93
135,77
199,24
190,86
147,61
157,63
130,90
108,98
132,27
185,56
138,23
173,96
142,88
76,46
105,71
158,43
138,28
134,36
62,68
132,92
196,25
110,98
13,63
61,59
181,49
20,53
156,14
177,22
98,3
21,96
76,32
10,79
91,34
86,57
71,12
14,72
5,63
179,29
172,52
122,74
42,79
149,12
49,23
14,11
177,56
52,84
190,43
96,63
186,72

Rectangles Set 2:
158,55
160,76
142,46
160,68
122,43
75,92
128,42
28,33
23,85
159,3
92,76
31,59
93,67
25,71
194,88
131,25
29,10
139,24
65,100
152,8
100,93
75,78
130,75
91,16
145,89
95,16
41,10
191,33
80,16
118,71
61,49
142,47
113,16
85,60
134,99
163,5
138,54
70,75
168,46
191,75
52,9
103,92
154,82
188,2
17,74
69,90
27,78
62,13
108,8
90,43

Rectangles Set 3:
57,5
53,69
21,72
18,39
154,70
193,92
129,41
93,46
44,95
94,5
49,86
197,57
67,50
8,16
19,52
55,37
49,6
128,61
131,77
149,42
76,56
136,45
132,14
67,56
134,100
165,71
70,40
3,27
53,23
131,61
29,56
11,19
75,27
74,46
168,14
195,30
133,33
93,68
181,68
124,85
131,64
72,15
73,87
183,1
171,91
42,59
126,29
59,88
51,51
110,90

