Rectangles Set 1:
11,83
75,85
20,74
31,19
46,4
41,73
13,71
46,22
130,21
168,54
93,1
113,31
81,3
194,16
109,63
183,13
198,94
43,47
14,26
185,93
49,100
70,15
98,35
159,22
4,11
134,88
189,6
141,35
161,46
194,92
91,49
190,90
186,62
161,90
157,73
81,14
144,48
187,54
195,23
68,72
167,12
92,19
124,10
55,54
25,45
132,56
11,14
144,43
19,2
186,65

Rectangles Set 2:
182,19
65,55
14,6
183,24
10,75
137,65
139,44
66,56
64,67
33,97
65,97
53,63
42,36
119,51
117,65
34,66
56,53
191,50
101,8
77,62
105,32
116,22
177,90
35,75
199,35
80,29
164,22
131,21
23,70
142,30
91,29
172,21
45,62
95,11
189,33
67,100
1,22
165,75
94,88
62,57
130,29
97,84
197,43
174,19
97,35
164,26
149,64
181,29
73,70
83,51

Rectangles Set 3:
109,98
28,79
86,16
123,83
186,22
5,97
151,95
176,61
82,16
117,93
85,46
33,76
147,34
95,94
27,58
30,15
192,78
185,81
53,8
10,37
153,25
1,47
107,43
8,58
23,10
96,98
49,46
118,20
128,3
4,21
41,61
50,12
41,100
70,24
167,65
196,34
71,34
25,84
121,46
48,22
141,97
6,21
127,35
166,58
159,67
102,33
78,89
176,83
66,90
150,35

Rectangles Set 4:
76,50
48,18
65,10
158,88
40,69
46,76
119,14
180,33
182,33
141,39
109,40
93,27
29,80
121,90
14,29
68,42
99,74
160,16
190,86
37,41
185,7
105,64
174,82
56,50
22,16
185,96
63,97
5,11
71,99
91,18
163,8
122,73
16,51
109,11
13,91
159,60
28,38
84,89
146,91
33,59
109,41
65,54
16,33
143,52
122,92
194,42
58,46
90,42
123,36
178,39

Rectangles Set 5:
188,67
118,4
99,96
4,69
37,13
176,36
5,18
196,8
27,16
17,70
189,12
17,7
114,76
174,34
126,44
100,81
182,15
126,53
135,84
175,55
140,26
16,79
172,87
113,73
195,2
146,9
38,50
137,9
121,22
90,31
117,14
18,94
90,2
78,20
114,16
65,57
180,22
197,2
149,78
38,25
37,87
61,5
89,68
143,87
41,90
116,75
84,21
161,55
50,100
160,29

Rectangles Set 6:
85,90
50,3
193,68
133,13
35,94
185,47
83,8
15,48
29,93
86,7
129,33
31,22
148,84
46,56
116,1
40,50
154,22
35,68
63,22
119,45
173,96
95,95
120,28
84,43
26,4
39,36
178,7
174,75
43,35
81,63
104,8
44,43
155,53
176,100
84,3
18,48
30,6
102,50
8,69
104,29
160,98
9,45
104,39
117,8
125,96
27,22
165,38
190,25
23,68
134,3

Rectangles Set 7:
3,90
25,45
95,88
66,56
190,79
187,73
56,13
67,39
169,89
34,88
80,62
117,80
159,64
49,7
31,59
110,32
65,18
189,79
111,24
193,33
120,73
178,50
129,18
87,61
155,62
13,89
43,79
156,46
175,66
143,20
77,83
117,94
164,51
138,40
123,18
43,94
105,63
147,83
184,28
13,5
145,2
164,51
99,25
160,70
55,8
12,51
194,27
113,61
103,93
88,50

Rectangles Set 8:
66,75
8,51
17,58
107,78
160,83
79,12
171,5
83,69
128,37
107,97
103,98
181,64
95,51
95,14
10,60
109,34
61,32
199,20
73,93
155,26
100,4
127,43
173,2
175,75
162,18
181,44
124,98
29,94
160,51
97,91
4,83
59,24
136,96
39,58
10,54
94,5
174,19
126,95
108,32
95,44
67,22
101,2
158,62
47,27
99,91
22,82
35,16
32,57
63,24
167,9

Rectangles Set 9:
67,13
183,37
152,85
54,75
112,65
95,29
110,69
79,6
117,90
152,60
131,63
107,85
35,16
51,74
31,40
155,2
1,42
147,54
196,67
196,4
200,48
155,63
179,34
140,30
156,14
25,11
86,47
8,22
30,3
121,65
16,57
40,30
42,10
190,83
71,69
174,64
168,4
143,81
25,4
122,37
91,64
167,6
164,26
197,5
60,7
141,46
5,34
55,86
184,89
109,20

Rectangles Set 10:
107,80
36,3
11,32
38,88
41,75
140,96
151,81
18,52
183,98
136,31
159,3
67,86
189,68
64,12
86,50
38,54
34,99
155,85
144,15
52,11
43,15
171,95
80,45
43,50
166,41
188,2
62,40
97,10
139,84
142,43
3,35
188,60
153,63
75,7
109,67
21,26
130,4
99,75
68,80
1,86
55,80
20,19
172,6
7,100
9,70
171,8
41,45
192,57
66,46
172,53

Rectangles Set 11:
29,73
5,21
41,36
58,84
111,77
196,10
118,41
81,70
139,9
7,84
29,69
56,31
150,55
74,42
99,22
198,72
9,31
159,22
25,30
155,31
9,90
192,87
20,31
30,43
96,80
94,9
34,58
197,32
105,10
21,32
33,3
146,70
23,22
138,37
131,23
18,66
90,8
70,86
101,80
163,61
63,44
187,99
1,42
179,19
198,71
30,97
199,16
12,10
140,1
63,34

Rectangles Set 12:
32,72
169,16
29,64
20,17
122,99
60,99
5,7
169,96
133,79
198,47
103,87
11,76
90,98
91,90
119,45
130,50
152,86
29,80
36,10
32,70
147,65
50,21
177,92
75,16
147,44
192,2
77,60
146,12
82,42
42,65
60,8
150,37
49,1
118,30
114,91
136,15
32,69
5,76
96,17
186,93
61,37
144,12
170,7
62,96
68,99
110,27
153,3
197,11
15,38
141,82

Rectangles Set 13:
175,33
4,84
152,84
3,55
100,11
47,9
168,32
167,78
136,79
23,49
191,100
52,24
21,49
87,27
172,65
65,70
85,19
91,33
155,41
111,40
5,81
7,97
53,87
166,73
161,65
187,26
29,34
177,89
31,30
195,96
152,77
53,74
84,46
84,24
133,70
125,34
116,73
53,88
181,37
58,47
13,71
55,23
38,81
45,88
49,53
16,35
147,89
33,50
70,74
103,33

Rectangles Set 14:
38,53
38,55
127,3
200,25
9,41
67,61
183,66
123,8
68,17
1,52
158,87
180,2
3,48
108,36
89,93
122,1
151,15
72,11
178,79
69,40
112,67
112,34
79,76
131,61
182,24
141,26
169,15
141,37
54,87
108,44
55,37
49,32
128,45
104,99
176,53
160,82
173,92
141,19
19,58
157,75
173,56
70,82
142,22
103,1
88,74
62,63
196,58
131,41
187,82
66,61

Rectangles Set 15:
22,55
91,22
157,81
79,49
35,96
59,18
59,34
189,37
112,42
193,17
5,36
40,68
199,89
74,77
141,51
168,99
25,16
135,51
40,88
81,72
110,6
194,9
57,84
4,59
11,2
86,15
117,39
125,94
191,10
196,40
48,61
4,80
133,72
116,87
177,58
86,83
140,54
79,1
34,27
74,77
186,29
30,59
108,16
112,28
42,85
53,94
117,38
56,20
161,21
135,13

Rectangles Set 16:
59,25
7,7
1,45
29,17
192,34
107,16
5,21
151,13
40,2
178,13
176,46
110,22
107,61
153,57
146,84
11,17
70,69
127,16
48,83
175,74
157,8
3,22
57,14
181,37
42,48
165,73
147,9
29,12
23,97
37,77
20,8
53,17
9,47
107,18
187,78
25,11
151,21
103,23
58,94
68,55
118,14
127,27
109,44
75,24
158,100
146,6
47,61
76,33
111,70
200,4

Rectangles Set 17:
59,64
68,67
81,85
84,34
153,6
136,94
168,39
141,54
155,27
30,89
7,82
31,31
159,76
178,50
7,79
20,60
44,12
158,8
85,9
101,53
3,13
164,98
88,65
147,93
149,96
182,52
46,93
148,32
51,11
192,1
67,13
42,96
174,9
86,7
